drug	correlation	p_value	n	p_adjusted	significant_fdr
BRD:BRD-K39061174-001-01-0	0.06291047325065645	0.15119821246316034	522	0.8219650492154336	False
BRD:BRD-K75958195-037-09-4	0.06292328281466956	0.13981654128542353	552	0.8162057943456041	False
BRD:BRD-K80267133-001-19-3	0.06295020999095548	0.15093963815181613	522	0.8219650492154336	False
BRD:BRD-K92658264-001-02-9	0.06297783539776011	0.06243948842150948	876	0.7349749151867362	False
BRD:BRD-K65820248-001-01-8	0.06302387574648773	0.14172701240151586	545	0.8173280729157864	False
BRD:BRD-K15916496-001-27-9	0.0630583228763472	0.1386078293128264	553	0.8162057943456041	False
BRD:BRD-K88506063-001-01-8	0.06312961345538327	0.13851980282612936	552	0.8162057943456041	False
BRD:BRD-K00004618-001-01-9	0.0631825846594396	0.06129379639830965	878	0.7349749151867362	False
BRD:BRD-K09877029-001-01-2	0.06318376454677391	0.13818101173362715	552	0.8162057943456041	False
BRD:BRD-K22346679-001-06-3	0.06319549612069253	0.061537416735149945	876	0.7349749151867362	False
BRD:BRD-K11399644-003-11-3	0.06320598426029897	0.1458062400147398	531	0.8209157294362215	False
BRD:BRD-A64173453-015-02-3	0.06323456255507798	0.14448569533637035	534	0.8209157294362215	False
BRD:BRD-K00090650-001-01-9	0.06325473733778687	0.06402747175794896	858	0.7349749151867362	False
BRD:BRD-A59391172-001-07-7	0.06329191079905594	0.17119003147809173	469	0.8299270843048359	False
BRD:BRD-K32372024-001-01-0	0.06338665146186175	0.15008777471802046	517	0.8219650492154336	False
BRD:BRD-K18375018-376-02-3	0.06340662283181102	0.1375097413420215	550	0.8162057943456041	False
BRD:BRD-K00079520-001-02-9	0.06357661041338432	0.06268327077435813	858	0.7349749151867362	False
BRD:BRD-K53972329-001-07-0	0.06358944835572491	0.13745554362616044	547	0.8162057943456041	False
BRD:BRD-A65248799-001-01-7	0.06359030837393037	0.1349481911308692	554	0.8144873046920905	False
BRD:BRD-A95939040-001-01-2	0.06361294416510892	0.13445596747982877	555	0.8139234579517742	False
BRD:BRD-K00004674-001-01-9	0.06369144150042387	0.05996135292047996	873	0.7349749151867362	False
BRD:BRD-K56047318-001-06-3	0.06371827108025882	0.13665900280548846	547	0.8162057943456041	False
BRD:BRD-K83405785-001-01-5	0.06372416619975359	0.14065005577540485	536	0.816206777525615	False
BRD:BRD-K10784860-003-02-3	0.0637793463958745	0.13628260336158718	547	0.8162057943456041	False
BRD:BRD-K86410485-046-01-0	0.0638063785140311	0.14088281933137273	534	0.816206777525615	False
BRD:BRD-K00003279-001-01-9	0.06381409429911006	0.05874291683672348	878	0.7349749151867362	False
BRD:BRD-K86816506-001-01-8	0.06384834001822266	0.14250268500178692	529	0.8173291850122136	False
BRD:BRD-K52914072-001-01-5	0.06389840151338237	0.13993689397403808	535	0.8162057943456041	False
BRD:BRD-K74671368-001-01-8	0.06391274228458672	0.13984780767910257	535	0.8162057943456041	False
BRD:BRD-A08316590-001-01-3	0.06391963839314402	0.13980498386590434	535	0.8162057943456041	False
BRD:BRD-K39023557-001-01-7	0.0639698166298621	0.1343989938647182	549	0.8139234579517742	False
BRD:BRD-K71822263-001-03-2	0.06399874203946852	0.13280626074086868	553	0.8135784227652239	False
BRD:BRD-K48443249-001-01-0	0.06406266743852781	0.13277087301424298	552	0.8135784227652239	False
BRD:BRD-K01666412-001-02-0	0.0642142903042281	0.13798462355585844	535	0.8162057943456041	False
BRD:BRD-K46741531-001-02-4	0.06422417705594688	0.1335651980188302	547	0.8139234579517742	False
BRD:BRD-K28210218-236-08-1	0.06423723113735312	0.1324209136338326	550	0.8129638368659343	False
BRD:BRD-K04394237-001-06-0	0.06424812223271062	0.1323551675574352	550	0.8129638368659343	False
BRD:BRD-K68395654-001-03-1	0.06426315674945651	0.13051108572394077	555	0.8075566307266916	False
BRD:BRD-K55808645-001-01-4	0.06435762612054671	0.1374751336582248	534	0.8162057943456041	False
BRD:BRD-K25394294-001-14-9	0.06450455598054486	0.12906951158791502	555	0.8075566307266916	False
BRD:BRD-K90947825-001-02-7	0.0645084512006107	0.14337955740057567	516	0.8181068863444613	False
BRD:BRD-K00004663-001-01-9	0.06450928177013207	0.05674341385764937	873	0.7349749151867362	False
BRD:BRD-K03165895-001-01-9	0.06451176335063107	0.1361653696524761	535	0.8162057943456041	False
BRD:BRD-K73529671-001-02-9	0.06460896969203275	0.14082545713894615	521	0.816206777525615	False
BRD:BRD-K79511609-001-20-0	0.06461262309828128	0.1619629946357901	470	0.8250028008829817	False
BRD:BRD-K00004669-001-01-9	0.06469356973850626	0.055337601612519834	878	0.7349749151867362	False
BRD:BRD-K31731454-237-04-9	0.06480593976844061	0.05491458245939717	878	0.7349749151867362	False
BRD:BRD-A10523515-001-07-9	0.06482015718158649	0.1289372910161546	550	0.8075566307266916	False
BRD:BRD-K00003158-001-01-9	0.06490641540997559	0.05523334013050064	873	0.7349749151867362	False
BRD:BRD-K00004625-001-01-9	0.06492118685513804	0.0551778240125224	873	0.7349749151867362	False
BRD:BRD-K42260897-001-07-6	0.06497281850885056	0.13821719390172194	522	0.8162057943456041	False
BRD:BRD-A47953250-001-01-7	0.06497976106992448	0.13443926604676448	532	0.8139234579517742	False
BRD:BRD-K81004638-001-01-7	0.06498433432512192	0.15955719314419559	470	0.8234961688556373	False
BRD:BRD-K98795921-001-01-7	0.06510958583310762	0.12828101056760163	547	0.8075091514097005	False
BRD:BRD-K05181084-003-03-7	0.06514422214729956	0.12668502607310655	551	0.8030498370015018	False
BRD:BRD-K87492696-001-16-5	0.06516165362294928	0.12658326503573564	551	0.8030498370015018	False
BRD:BRD-K73877023-001-01-9	0.06524589604973026	0.15788052312976802	470	0.8234961688556373	False
BRD:BRD-A27376179-001-01-3	0.06535095281776108	0.12969393292742526	539	0.8075566307266916	False
BRD:BRD-K10071630-001-01-0	0.06539033402808936	0.12422599125481093	554	0.7989855807926727	False
BRD:BRD-K00141480-001-15-4	0.06540066014573138	0.1568947341763209	470	0.8234961688556373	False
BRD:BRD-A18795974-004-07-3	0.06541701548578523	0.12475620822360615	552	0.7989855807926727	False
BRD:BRD-K68997413-001-05-1	0.06542269535088915	0.12506694236244092	551	0.7989965184630639	False
BRD:BRD-K64034691-001-01-9	0.06551173922954183	0.1305463045479211	534	0.8075566307266916	False
BRD:BRD-K84783599-001-01-0	0.06558387255064874	0.1308473281956577	532	0.8076848713168325	False
BRD:BRD-K00003310-001-01-9	0.06560846886357757	0.051971060887156084	878	0.7349749151867362	False
BRD:BRD-K78318619-001-02-7	0.06562914367501023	0.12251579739818162	555	0.7989855807926727	False
BRD:BRD-K03449891-001-08-6	0.06565875043570235	0.12508590561505697	547	0.7989965184630639	False
BRD:BRD-A55393291-001-09-9	0.0656792632075212	0.12290804838419338	553	0.7989855807926727	False
BRD:BRD-K01950558-001-14-7	0.06572821244879952	0.12331025197829158	551	0.7989855807926727	False
BRD:BRD-K20545304-001-01-6	0.06578918619378192	0.12433618426765698	547	0.7989855807926727	False
BRD:BRD-A42699921-001-02-8	0.06581971478009499	0.1217689334719553	554	0.7989855807926727	False
BRD:BRD-K59325863-001-02-8	0.06582011675304265	0.12210525149354627	553	0.7989855807926727	False
BRD:BRD-K00003231-001-01-9	0.06592456296902946	0.05151404466929184	873	0.7349749151867362	False
BRD:BRD-K50031829-001-01-6	0.0659345901673559	0.1245432742517118	544	0.7989855807926727	False
BRD:BRD-K00003475-001-01-9	0.06597457666553184	0.05133687153812242	873	0.7349749151867362	False
BRD:BRD-K91699951-001-10-2	0.06599834289459709	0.12211355236411266	550	0.7989855807926727	False
BRD:BRD-K59325863-001-03-6	0.06604900080026084	0.13179245560759348	522	0.8120424442609434	False
BRD:BRD-K43457670-001-27-8	0.06605198824872496	0.14429460121080045	490	0.8209157294362215	False
BRD:BRD-K48195008-001-19-9	0.06608509380424701	0.1279238769975044	532	0.8072519747333224	False
BRD:BRD-K42973005-001-04-0	0.06611530604743523	0.12043607970720091	553	0.7989855807926727	False
BRD:BRD-K73504359-001-01-3	0.06617670337799608	0.12632207789381528	535	0.8030498370015018	False
BRD:BRD-K88807631-001-01-3	0.06620404755658096	0.1209515710774671	550	0.7989855807926727	False
BRD:BRD-K13050541-001-01-9	0.06629824491685471	0.12144360780539007	547	0.7989855807926727	False
BRD:BRD-K92150287-066-01-2	0.06642992710994684	0.12070397357646856	547	0.7989855807926727	False
BRD:BRD-A61194565-003-27-0	0.06649114906497576	0.12036130073663373	547	0.7989855807926727	False
BRD:BRD-K49659468-436-01-2	0.06654149184770258	0.1242410795918861	535	0.7989855807926727	False
BRD:BRD-K00003139-001-01-9	0.06655645137076587	0.048664960362233035	878	0.7349749151867362	False
BRD:BRD-K48452630-001-01-8	0.06655922789084351	0.12449436083194587	534	0.7989855807926727	False
BRD:BRD-K16077845-001-06-1	0.0665805839809285	0.11784135895114384	553	0.7974478964517558	False
BRD:BRD-K22149900-001-03-9	0.06658733529663455	0.12398145524254064	535	0.7989855807926727	False
BRD:BRD-K97746869-001-27-0	0.06658968658812826	0.11712598909922435	555	0.7952854659837333	False
BRD:BRD-A45543382-001-10-0	0.06659848911546958	0.11976232840651262	547	0.7989855807926727	False
BRD:BRD-K57708067-001-01-3	0.06667504190527374	0.14938889633439323	469	0.8219650492154336	False
BRD:BRD-K74965187-001-01-3	0.06669551471075767	0.14926372051268377	469	0.8219650492154336	False
BRD:BRD-K00003134-001-01-9	0.06674608687726283	0.0480252190393756	878	0.7349749151867362	False
BRD:BRD-K49900195-300-02-9	0.06678267622007955	0.04815810228976139	876	0.7349749151867362	False
BRD:BRD-K00004620-001-01-9	0.06683099583780715	0.0483811793881291	873	0.7349749151867362	False
BRD:BRD-A37704979-001-10-7	0.06698171504098135	0.116636507166133	550	0.7927546382963394	False
BRD:BRD-K48826825-001-01-8	0.067002464634587	0.11922682325313652	542	0.7989855807926727	False
