drug,correlation,p_value,n,significance
BRD:BRD-K32821942-001-21-3,-0.08929639360994653,0.03578750983438805,553,p < 0.05
BRD:BRD-K99451608-001-07-3,-0.08923514829622402,0.03608382394547895,552,p < 0.05
BRD:BRD-K96391852-001-02-8,-0.08899802608685833,0.03744694017450995,547,p < 0.05
BRD:BRD-A98299281-050-09-6,-0.08885864532457093,0.037747524797471545,547,p < 0.05
BRD:BRD-K00004743-001-01-9,-0.0885149542936497,0.008878327911133105,873,p < 0.05
BRD:BRD-K08893438-001-04-9,-0.08850116515604078,0.0453291476571495,512,p < 0.05
BRD:BRD-K43055376-001-04-9,-0.08837056448115412,0.009602806111566949,858,p < 0.05
BRD:BRD-K20463415-300-01-4,-0.08836250335009818,0.0410476949860287,535,p < 0.05
BRD:BRD-A53037300-001-01-0,-0.08800201593312033,0.03874322764035035,552,p < 0.05
BRD:BRD-K58794715-001-01-8,-0.0879325441102353,0.03979715951568009,547,p < 0.05
BRD:BRD-K55055802-001-10-2,-0.087863262658419,0.039410659334341756,550,p < 0.05
BRD:BRD-K00739965-001-01-9,-0.0877941210368735,0.04256553286639961,534,p < 0.05
BRD:BRD-K00004551-001-01-9,-0.08775621784054385,0.00948149665741914,873,p < 0.05
BRD:BRD-K52396582-001-06-7,-0.08774663417369676,0.03967387629353873,550,p < 0.05
BRD:BRD-K79821389-001-03-5,-0.08751538439866827,0.043229598933399435,534,p < 0.05
BRD:BRD-A67975844-001-01-8,-0.08741641361673783,0.04006321010914469,552,p < 0.05
BRD:BRD-K65059905-001-02-9,-0.08733322064470161,0.009833372039938133,873,p < 0.05
BRD:BRD-K60902958-001-01-9,-0.08732314578614993,0.05880207736289211,469,NS
BRD:BRD-A18043272-001-09-9,-0.0873036529959017,0.04014022763154309,553,p < 0.05
BRD:BRD-K73451719-001-01-2,-0.08709502994321681,0.044048425456714,535,p < 0.05
BRD:BRD-K83636919-001-04-8,-0.08707090046087296,0.04141402490582648,549,p < 0.05
BRD:BRD-K04374714-003-01-1,-0.08704385484315624,0.05961865459984326,469,NS
BRD:BRD-K56707426-001-02-0,-0.08684052039981528,0.042334256291898596,547,p < 0.05
BRD:BRD-K87737963-001-06-0,-0.08680824659440614,0.04165979960194376,551,p < 0.05
BRD:BRD-K01742705-001-01-7,-0.0866758096354794,0.06070902552313646,469,NS
BRD:BRD-K00004566-001-01-9,-0.08664188454638459,0.010433519171476748,873,p < 0.05
BRD:BRD-K25204779-001-01-1,-0.08647879353366052,0.04225581109171014,552,p < 0.05
BRD:BRD-K02079473-001-01-3,-0.08636411420142937,0.04290906785328414,550,p < 0.05
BRD:BRD-K67783091-001-26-1,-0.08634853488621601,0.04294675544172028,550,p < 0.05
BRD:BRD-K00003606-380-01-9,-0.0862216906506124,0.010678696143407915,876,p < 0.05
BRD:BRD-K29626940-001-01-5,-0.08607307793770351,0.04680678932742655,534,p < 0.05
BRD:BRD-K36269323-300-02-6,-0.0859101859609473,0.04519364347847014,544,p < 0.05
BRD:BRD-K24601397-001-01-1,-0.08585854956903408,0.04473088231655928,547,p < 0.05
BRD:BRD-K59875992-001-01-8,-0.08574123041307415,0.04347737050043883,555,p < 0.05
BRD:BRD-K58626373-003-07-8,-0.08563650006914167,0.04373524701917013,555,p < 0.05
BRD:BRD-K57041787-001-02-6,-0.08550664005823343,0.04405678785148785,555,p < 0.05
BRD:BRD-K39462424-050-09-8,-0.08519278050205424,0.04582148626645305,550,p < 0.05
BRD:BRD-K68770713-001-01-8,-0.08501095713462214,0.047912483631359956,542,p < 0.05
BRD:BRD-A08840375-001-01-3,-0.08491845087702761,0.04878316991978546,539,p < 0.05
BRD:BRD-K54057105-001-01-2,-0.08491211724714934,0.05274542952568002,521,NS
BRD:BRD-K67943528-050-01-4,-0.0848655427561143,0.046664207266316676,550,p < 0.05
BRD:BRD-A92448440-001-01-3,-0.08451038517362275,0.0671694331696103,470,NS
BRD:BRD-K43457670-001-27-8,-0.08441696371675257,0.061872179430632133,490,NS
BRD:BRD-K21025364-001-05-6,-0.08437464051854168,0.05403579107769376,522,NS
BRD:BRD-K06159959-001-03-9,-0.08429550910196798,0.012466537655534748,878,p < 0.05
BRD:BRD-K72912098-001-02-3,-0.08421839329341689,0.05448392150846316,522,NS
BRD:BRD-K79131256-001-17-9,-0.08421421707399422,0.04736674567555939,555,p < 0.05
BRD:BRD-K76713213-001-02-1,-0.08419489577814865,0.05183431947772635,534,NS
BRD:BRD-K32804101-001-01-8,-0.08419200333520886,0.051622497004749045,535,NS
BRD:BRD-K93631643-001-02-4,-0.0841785751312166,0.04909553790658027,547,p < 0.05
BRD:BRD-K89561498-001-01-7,-0.08408535084563766,0.04872599894709307,550,p < 0.05
BRD:BRD-K27938825-001-02-4,-0.08400853347001191,0.04852202255718254,552,p < 0.05
BRD:BRD-K97799481-230-01-7,-0.08398249044121757,0.050686233558357156,542,NS
BRD:BRD-A02990301-003-06-6,-0.08392811516431761,0.04915062565689753,550,p < 0.05
BRD:BRD-A64092382-003-18-3,-0.08372118661379283,0.05430297505520702,529,NS
BRD:BRD-K48173020-001-01-8,-0.08360679178804198,0.050028018627124034,550,NS
BRD:BRD-K76304753-003-21-1,-0.08358159304760593,0.05634241145881972,522,NS
BRD:BRD-K05858796-001-01-7,-0.08353168373217125,0.05393970396607587,533,NS
BRD:BRD-K03294269-001-08-0,-0.08352265986995748,0.049221898522531005,555,p < 0.05
BRD:BRD-K23922020-075-02-9,-0.08351247429070396,0.04945551553202991,554,p < 0.05
