cell_line_id,IIR_score_norm,IIR_group,ImmuneScore_norm,PD1_signature,DPI_norm
ACH-000764,0.4017339423331208,Mid,0.007962735134316069,-0.16412660560756567,0.6126416497284813
ACH-000995,0.47867356096304997,High,0.13988875668767028,0.9491104748747986,0.613750303229087
ACH-000373,0.4147700893226161,High,0.004885176441997693,0.16489380211502144,0.6126157871565839
ACH-000953,0.5843275193633831,High,0.43560731945063325,1.8453438047710449,0.616235403711471
ACH-000709,0.4007656752467403,Mid,0.011757501467921204,-0.2082537110646489,0.6126735394264362
ACH-003463,0.8392130094960637,High,0.7960102909679853,4.248346093388073,0.687455552955745
ACH-000846,0.40149254752149904,Mid,0.008775076372180285,-0.1743895057001403,0.6126484763192208
ACH-001702,0.40102094909647484,Mid,0.0018949194546833347,-0.1476920820060819,0.6125906582332853
ACH-000333,0.4224916297773259,High,0.05690760259724791,0.06249754100338556,0.6130529628114543
ACH-001708,0.4129303908867173,High,0.019265149246446695,0.04146729223413282,0.6127366306945042
ACH-002059,0.4264980708112454,High,0.07890841934151097,0.03692760407927217,0.6132378488726915
ACH-000929,0.40305617079976225,Mid,0.002664016758538769,-0.10322384735296061,0.6125971214193058
ACH-001395,0.39106665644220606,Low,0.0015420020823155578,-0.3840064701722839,0.6125876924568927
ACH-000948,0.3964411330436368,Low,0.011509314435889973,-0.31039436261241227,0.6126714537619203
ACH-002015,0.3932507975972204,Low,0.0026678242331434586,-0.23102449899715596,0.6125748543603523
ACH-000981,0.5078816778689531,High,0.2199398364067337,1.1072995254875004,0.616163094419463
ACH-000617,0.3948121895322656,Low,0.002649508672948298,-0.300469117614735,0.6125969994991592
ACH-000311,0.39834414370406557,Low,0.024600836972475247,-0.33712299788598765,0.6127814696793076
ACH-001210,0.3915565645864343,Low,0.0022813718439133965,-0.2704780839845594,0.6125749666944617
ACH-001834,0.4079088555008952,Mid,0.006150810020537657,-0.006322138353605796,0.6126264230347891
ACH-002010,0.39095946673478027,Low,0.010052070263873102,-0.43355635271214404,0.6126592076649524
ACH-003143,0.39461946583135527,Low,0.0029890240499109125,-0.20060110043057824,0.612574978177599
ACH-000390,0.3972462159789492,Low,0.015348889776312349,-0.31232250516107707,0.6127037200168401
ACH-000468,0.40519200947819217,Mid,0.01356903493671196,-0.11230785798777254,0.6126887628289006
ACH-002651,0.42865588559718165,High,0.03456643279173483,0.333389206851133,0.6128652165592677
ACH-001061,0.4004901339596371,Mid,0.018411529287525326,-0.25158597597678184,0.6127294572139088
ACH-000077,0.5414409931183991,High,0.135268126750062,2.4770027663175687,0.6137114733038379
ACH-000456,0.40921409254659463,Mid,0.008247677874532096,0.11985082411567276,0.6125757924171836
ACH-002703,0.4143823472769324,High,0.022587779064008745,0.05787657589085592,0.6127645527460835
ACH-000496,0.40875783594133136,Mid,0.05271649213755287,-0.15081365981238437,0.6126496997036719
ACH-002512,0.4033205428955656,Mid,0.002664016758538769,0.0095938102255155,0.6125749213519466
ACH-000062,0.39932594050511244,Low,0.006372939321666332,-0.12231873619176621,0.6125815883874681
ACH-002464,0.3900618799298581,Low,0.0,-0.2923419310584459,0.6125747340883588
ACH-000088,0.4078837771557797,Mid,0.011603686832523127,0.07075205736214557,0.612575768611814
ACH-000536,0.40240595136415047,Mid,0.003375476439140975,-0.12271527769911729,0.6126031002418014
ACH-000071,0.4073560654713146,Mid,0.017612800124279245,0.02575473805837635,0.6125765819120838
ACH-002004,0.41598509403434836,High,0.0069123666691565016,0.18278362692599565,0.6126328228521599
ACH-000878,0.39995002977811955,Low,0.015832475065765246,-0.25027474178815223,0.6127077838741269
ACH-001380,0.39753348303235103,Low,0.00597471821216393,-0.25369161866883017,0.6126249432296871
ACH-002061,0.44800212291619756,High,0.16126630792947497,0.09694267679592998,0.6139299516164145
ACH-000385,0.4049060608667998,Mid,0.0037016705521506414,0.02682392971038353,0.6125784209325441
ACH-000412,0.4249560080601079,High,0.03250232267267125,0.2562260748388114,0.6128478706036922
ACH-003474,0.39060103323094403,Low,0.0022630562837182362,-0.3991324342523633,0.6125937519079024
ACH-000427,0.4079396476061284,Mid,0.028771644444509813,-0.1304750981571829,0.6128165194765333
ACH-000938,0.4054075067445369,Mid,0.007298819058386564,0.02839443355915061,0.6125780241164278
ACH-000462,0.4125052957981088,High,0.010669995826863619,0.15768346031085018,0.6125948038997686
ACH-000939,0.39759386282421844,Low,0.010658928621171071,-0.17246066351677916,0.6125769116664755
ACH-000325,0.4031621080542825,Mid,0.004883943504594247,-0.1129444174099646,0.6126157767954713
ACH-000515,0.43611480630442956,High,0.13548413223189792,-0.045244627652424985,0.6137132885274819
ACH-001033,0.3904878006796773,Low,0.0026277363778771045,-0.29936236261535865,0.6125752282607808
ACH-000919,0.3927562995325075,Low,0.0019171063417043408,-0.34563465571201524,0.6125908446830067
ACH-000863,0.3944817280788332,Low,0.0040531493733496245,-0.21333760575789937,0.6125759692394545
ACH-000642,0.4053168650102396,Mid,0.0077548199255002654,0.02701551076661296,0.61257673073806
ACH-000581,0.39435924271084144,Low,0.012351895814175605,-0.3648777469364621,0.6126785344787008
ACH-001435,0.3885944158829677,Low,0.004401475875673933,-0.35206455954696364,0.612575017474874
ACH-001050,0.3915499665713371,Low,0.0003864523892300619,-0.25937247302165023,0.6125747474065643
ACH-001818,0.3914512502284065,Low,0.0011480090378489067,-0.26532311386385754,0.6125747413362382
ACH-001384,0.39478807501895014,Low,0.0157925386666946,-0.2669789412888398,0.6125778946383937
ACH-000797,0.40328343940973727,Mid,0.005639338869809042,-0.006631430470254944,0.6125749478151135
ACH-000220,0.4703246832729143,High,0.13154205442112993,0.7953566143433392,0.6136801608828132
ACH-001533,0.44485785141205275,High,0.04563067533321076,0.6601085569301272,0.6129581960267051
ACH-001508,0.4159916011028132,High,0.008354526882598665,0.1749771883979671,0.6126449421895752
ACH-000827,0.410404269628416,Mid,0.03316217233586783,0.0024420156934143815,0.6126038724312551
ACH-003119,0.39799397503802125,Low,0.016491217125383647,-0.300731184702358,0.6127133196788286
ACH-000961,0.39909038287388604,Low,0.011540374192061097,-0.2471542246813481,0.612671714775684
ACH-000778,0.39855202489709834,Low,0.0003864523892300619,-0.19845921228840815,0.6125779816796155
ACH-000825,0.40086717526572063,Mid,0.007085302960923295,-0.08032550901689313,0.6125784364209602
ACH-000743,0.40915129215037027,Mid,0.009873479726364882,0.0028635193568424928,0.6126577068615305
ACH-000190,0.4159011146098382,High,0.006583644230978954,0.2893337442469514,0.6125753714875263
ACH-001819,0.4052332589589496,Mid,0.017765532386803687,-0.13448945305554488,0.6127240285144231
ACH-000157,0.46977318355612857,High,0.09321962567934838,0.993734833160043,0.6133581145247404
ACH-001786,0.41734375205674185,High,0.05664750768803123,-0.059284469642047144,0.6130507770779029
ACH-000253,0.44653824484605525,High,0.1517642297607721,0.11436487308175705,0.6138500999533331
ACH-001376,0.3999809158242623,Low,0.0030465194633335657,-0.17894399683142118,0.6126003358189949
ACH-000958,0.4303881394544691,High,0.10014871503805345,0.012771062748228378,0.6134163438193336
ACH-000228,0.412860881024425,High,0.026923119148944796,0.10299058843199098,0.6125850375942501
ACH-000266,0.40195869805340917,Mid,0.007904032746439449,-0.15842282581718922,0.6126411564171008
ACH-001750,0.41056922182535105,Mid,0.0358446821872354,-0.005574265214204387,0.6126010745257414
ACH-000174,0.39843235065444177,Low,0.018305349978553438,-0.201926747264754,0.6125879295289216
ACH-000245,0.40982439276734234,Mid,0.007525121012445977,0.03193997238280809,0.6126379721944936
ACH-001279,0.4114473817135123,High,0.004512283781577695,0.1925748664271418,0.6125754958728391
ACH-000620,0.4009961675164892,Mid,0.002292357035522217,-0.15047950545620742,0.6125939981396972
ACH-000813,0.4246590703584997,High,0.04504409838190544,0.1798753213777148,0.6129532666686999
ACH-001513,0.39827489521900067,Low,0.028999974530911753,-0.3630682171623191,0.612818438271223
ACH-000168,0.4603926107730963,High,0.1383221416328436,0.5201926480431538,0.6137371380229799
ACH-000257,0.40556690623202934,Mid,0.02128801856264648,-0.14595107850976224,0.6127536300788734
ACH-000211,0.40294572401706386,Mid,0.00717257909745855,-0.023393366535559283,0.612575212064727
ACH-000283,0.39369261720540333,Low,0.0034181791863501176,-0.22427363627477132,0.6125748515615765
ACH-002401,0.4116391028548411,High,0.010487353021001946,0.05902177771867105,0.6126628656070836
ACH-002041,0.3930366293239059,Low,0.0015232597316667828,-0.22959405570823055,0.6125747629038972
ACH-000987,0.401194042714058,Mid,0.030747368941602217,-0.3028438039182229,0.6128331226747055
ACH-003465,0.3917186417472885,Low,0.0011480090378489067,-0.25896287699690695,0.6125747440312271
ACH-000682,0.41369684371350945,High,0.014996449572145718,0.0833804279728437,0.6127007582503782
ACH-000073,0.45434104607759374,High,0.06460349544468114,0.7823461082899988,0.6131176360157632
ACH-000212,0.4017416338762852,Mid,0.011962474261328482,-0.18602512716364109,0.6126752619357809
ACH-000096,0.3946424990981486,Low,0.016221028772103675,-0.2790284607309164,0.6125840211183899
ACH-002500,0.42535519731051336,High,0.015435557882561351,0.36000682691338476,0.6127044483409286
ACH-001440,0.4343839684089975,High,0.10405165554755742,0.15780169463980837,0.612905677499903
ACH-000063,0.3986034232954446,Low,0.0041509961095438875,-0.11045695711045735,0.612574831440559
ACH-002942,0.49703379414044957,High,0.1732819547293573,1.3114628336896748,0.6128510290446609
ACH-001999,0.4038024364846296,Mid,0.0003864523892300619,-0.0727869947481237,0.6125779816796155
ACH-000776,0.3977416719526448,Low,0.0015232597316667828,-0.2241318997300698,0.6125875349536768
ACH-000521,0.40190444411473025,Mid,0.012895577927086213,-0.18727983229215348,0.6126831033656467
ACH-000299,0.43378281425991455,High,0.0506607167733098,0.36724897526936634,0.6130004664824128
ACH-000025,0.4140135560009268,High,0.05622670688507602,-0.033760242968648956,0.6126208990914961
ACH-000591,0.39549876955938584,Low,0.007853935778422812,-0.20527750878284978,0.6125752562847021
ACH-001716,0.387984097897542,Low,0.004746706101465,-0.3730806918389928,0.6125763257615617
ACH-000833,0.41447438026484584,High,0.027114257337774617,0.035088689618119825,0.6128025914584205
ACH-001628,0.3966369856221406,Low,0.008426498649358008,-0.18796460389297118,0.612578735119775
ACH-000398,0.45249471563209614,High,0.10533471415536903,0.5132752049530531,0.6134599248809609
ACH-000274,0.41027291933421495,Mid,0.005659889965450775,0.15922374143568999,0.6125753917031884
ACH-001370,0.397359486435791,Low,0.03162839900376387,-0.2945766059143554,0.6125893671090712
ACH-001700,0.4006482250078221,Mid,0.0003864523892300619,-0.1482852188916889,0.6125779816796155
ACH-000029,0.4052168431116794,Mid,0.0029890240499109125,-0.05330103788971257,0.6125998526505447
