submitter_id	total_snvs	Ageing_CpG_prop	APOBEC_prop
TCGA-BH-A18Q	82	0.0975609756097561	0.109756097560976
TCGA-BH-A18T	87	0.103448275862069	0.137931034482759
TCGA-BH-A18V	196	0.0408163265306122	0.26530612244898
TCGA-BH-A1F0	67	0.149253731343284	0.149253731343284
TCGA-BH-A1F6	37	0.216216216216216	0.108108108108108
TCGA-BH-A1FC	97	0.195876288659794	0.237113402061856
TCGA-BH-A5IZ	67	0.149253731343284	0.0895522388059701
TCGA-C8-A12K	136	0.0514705882352941	0.257352941176471
TCGA-C8-A12V	41	0.121951219512195	0.0975609756097561
TCGA-C8-A131	58	0.258620689655172	0.103448275862069
TCGA-C8-A134	93	0.0645161290322581	0.0537634408602151
TCGA-C8-A1HJ	105	0.0761904761904762	0.0857142857142857
TCGA-C8-A27B	143	0.0699300699300699	0.34965034965035
TCGA-D8-A142	129	0.217054263565891	0.108527131782946
TCGA-D8-A143	44	0.181818181818182	0.0227272727272727
TCGA-D8-A147	154	0.0649350649350649	0.246753246753247
TCGA-D8-A1JK	202	0.0742574257425743	0.108910891089109
TCGA-D8-A1JL	110	0.0818181818181818	0.0818181818181818
TCGA-D8-A1JM	42	0.214285714285714	0.0476190476190476
TCGA-D8-A1XK	1038	0.10019267822736	0.0134874759152216
TCGA-D8-A1XQ	830	0.191566265060241	0.0373493975903615
TCGA-D8-A27F	59	0.0508474576271187	0.135593220338983
TCGA-D8-A27H	131	0.0687022900763359	0.229007633587786
TCGA-D8-A27M	60	0.166666666666667	0.1
TCGA-E2-A14N	84	0.0952380952380952	0.130952380952381
TCGA-E2-A14R	107	0.0747663551401869	0.121495327102804
TCGA-E2-A14X	31	0.387096774193548	0.193548387096774
TCGA-E2-A14Y	37	0.0810810810810811	0.432432432432432
TCGA-E2-A150	77	0.194805194805195	0.0779220779220779
TCGA-E2-A158	82	0.134146341463415	0.0487804878048781
TCGA-E2-A159	156	0.0961538461538462	0.506410256410256
TCGA-E2-A1AZ	53	0.169811320754717	0.264150943396226
TCGA-E2-A1B6	38	0.105263157894737	0.0789473684210526
TCGA-E2-A1II	26	0.115384615384615	0.0384615384615385
TCGA-E2-A1LG	160	0.08125	0.58125
TCGA-E2-A1LH	178	0.0842696629213483	0.213483146067416
TCGA-E2-A1LK	40	0.5	0.075
TCGA-E2-A1LL	40	0.15	0.075
TCGA-E2-A1LS	62	0.129032258064516	0.0806451612903226
TCGA-E2-A573	48	0.208333333333333	0.0833333333333333
TCGA-E2-A574	112	0.196428571428571	0.330357142857143
TCGA-E9-A1N8	25	0.16	0.16
TCGA-E9-A1N9	59	0.220338983050847	0.101694915254237
TCGA-E9-A1NC	69	0.115942028985507	0.130434782608696
TCGA-E9-A1ND	78	0.153846153846154	0.141025641025641
TCGA-E9-A22G	92	0.0652173913043478	0.0760869565217391
TCGA-E9-A243	71	0.0563380281690141	0.154929577464789
TCGA-E9-A244	91	0.175824175824176	0.054945054945055
TCGA-E9-A5FL	93	0.139784946236559	0.161290322580645
TCGA-EW-A1P4	63	0.126984126984127	0.0793650793650794
TCGA-EW-A1P8	34	0.205882352941176	0.0588235294117647
TCGA-EW-A1PB	144	0.0625	0.361111111111111
TCGA-EW-A1PH	43	0.348837209302326	0.0930232558139535
TCGA-EW-A6SB	58	0.241379310344828	0.103448275862069
TCGA-GM-A2DF	43	0.255813953488372	0.13953488372093
TCGA-GM-A3XL	95	0.126315789473684	0.2
TCGA-HN-A2NL	75	0.146666666666667	0.0533333333333333
TCGA-LL-A5YP	74	0.0540540540540541	0.121621621621622
TCGA-LL-A6FR	33	0.272727272727273	0.0606060606060606
TCGA-LL-A73Y	124	0.161290322580645	0.475806451612903
TCGA-LL-A8F5	136	0.132352941176471	0.102941176470588
TCGA-OL-A5D7	52	0.153846153846154	0.134615384615385
TCGA-OL-A5RW	166	0.072289156626506	0.343373493975904
TCGA-OL-A5S0	27	0.296296296296296	0.148148148148148
TCGA-OL-A66I	43	0.255813953488372	0.116279069767442
TCGA-OL-A6VO	21	0.285714285714286	0.0952380952380952
TCGA-PL-A8LV	108	0.0740740740740741	0.231481481481482
TCGA-PL-A8LZ	85	0.164705882352941	0.129411764705882
TCGA-S3-AA0Z	51	0.215686274509804	0.156862745098039
TCGA-S3-AA10	112	0.0625	0.133928571428571
TCGA-S3-AA15	25	0.12	0.32
